일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/18","65600","300","0.46","65900","66000","64800","14802060","966926908700","391617735280000","5969782550"
"2023/04/17","65300","200","0.31","65000","65600","64700","13486618","877708156600","389826800515000","5969782550"
"2023/04/14","65100","-1000","-1.51","66600","66600","65000","16176490","1062799885805","388632844005000","5969782550"
"2023/04/13","66100","100","0.15","65600","66100","65400","15091022","993653504000","394602626555000","5969782550"
"2023/04/12","66000","100","0.15","65800","66200","65300","15021313","987120762190","394005648300000","5969782550"
"2023/04/11","65900","200","0.30","66200","66200","65400","16323183","1074396316840","393408670045000","5969782550"
"2023/04/10","65700","700","1.08","64800","66300","64700","18777166","1233223465071","392214713535000","5969782550"
"2023/04/07","65000","2700","4.33","63800","65200","63800","27476120","1778208943700","388035865750000","5969782550"
"2023/04/06","62300","-1600","-2.50","63500","63600","62300","14992747","940919458200","371917452865000","5969782550"
"2023/04/05","63900","300","0.47","63700","64000","63400","9176149","584822515500","381469104945000","5969782550"
"2023/04/04","63600","500","0.79","63400","63800","62800","11120514","706088571400","379678170180000","5969782550"
"2023/04/03","63100","-900","-1.41","64000","64000","63000","11973133","757289145500","376693278905000","5969782550"
"2023/03/31","64000","800","1.27","64000","64000","63700","14094479","900711556583","382066083200000","5969782550"
"2023/03/30","63200","500","0.80","63700","63700","63100","15684377","993903387442","377290257160000","5969782550"
"2023/03/29","62700","-200","-0.32","62500","62700","62200","11216008","700455977590","374305365885000","5969782550"
"2023/03/28","62900","800","1.29","62400","62900","62100","11614118","726295104112","375499322395000","5969782550"
"2023/03/27","62100","-900","-1.43","62600","62800","62000","11039331","687170094400","370723496355000","5969782550"
"2023/03/24","63000","700","1.12","62700","63300","62300","18278602","1147804584500","376096300650000","5969782550"
"2023/03/23","62300","1200","1.96","60600","62300","60600","15381057","946393607300","371917452865000","5969782550"
"2023/03/22","61100","800","1.33","61000","61200","60500","8978591","546787085426","364753713805000","5969782550"
"2023/03/21","60300","100","0.17","60500","60700","60100","8318514","501917706700","359977887765000","5969782550"
"2023/03/20","60200","-1100","-1.79","61100","61200","60200","9618009","582445819345","359380909510000","5969782550"
"2023/03/17","61300","1400","2.34","60800","61300","60600","14090110","860201343960","365947670315000","5969782550"
"2023/03/16","59900","100","0.17","59200","60200","59100","10611939","633331744600","357589974745000","5969782550"
"2023/03/15","59800","800","1.36","60000","60300","59600","10482149","628405799682","356992996490000","5969782550"
"2023/03/14","59000","-1000","-1.67","59400","59500","59000","12147346","719193357800","352217170450000","5969782550"
"2023/03/13","60000","500","0.84","59900","60200","59300","12779724","765245322796","358186953000000","5969782550"
"2023/03/10","59500","-600","-1.00","59500","59700","59100","11902471","706235604554","355202061725000","5969782550"
"2023/03/09","60100","-200","-0.33","60500","60800","59900","14334499","862952239500","358783931255000","5969782550"
"2023/03/08","60300","-400","-0.66","60100","60500","59900","14161857","851969121700","359977887765000","5969782550"
"2023/03/07","60700","-800","-1.30","61400","61400","60700","11473280","698905790900","362365800785000","5969782550"
"2023/03/06","61500","1000","1.65","61100","61600","60800","13630602","835007952600","367141626825000","5969782550"
"2023/03/03","60500","-300","-0.49","61000","61200","60500","10711405","649938305450","361171844275000","5969782550"
"2023/03/02","60800","200","0.33","60900","61800","60500","13095682","798787155210","362962779040000","5969782550"
"2023/02/28","60600","100","0.17","60800","61400","60500","13715861","834902635220","361768822530000","5969782550"
"2023/02/27","60500","-800","-1.31","60800","60800","60200","11155697","674292520900","361171844275000","5969782550"
"2023/02/24","61300","-700","-1.13","62300","62600","61300","10308143","638634052687","365947670315000","5969782550"
"2023/02/23","62000","900","1.47","61700","62500","61500","13047099","809465376980","370126518100000","5969782550"
"2023/02/22","61100","-1000","-1.61","61500","61800","61000","11959088","732238903100","364753713805000","5969782550"
"2023/02/21","62100","-600","-0.96","62700","62800","62000","7665046","476711896776","370723496355000","5969782550"
"2023/02/20","62700","100","0.16","62900","63000","61800","12908073","806198780800","374305365885000","5969782550"
"2023/02/17","62600","-1100","-1.73","62900","63300","62400","10791265","677809979471","373708387630000","5969782550"
"2023/02/16","63700","1500","2.41","62500","63700","62400","13798831","873759607962","380275148435000","5969782550"
"2023/02/15","62200","-1000","-1.58","63900","63900","62000","13208103","826031235400","371320474610000","5969782550"
"2023/02/14","63200","300","0.48","63600","63900","63200","9126664","579858006300","377290257160000","5969782550"
"2023/02/13","62900","100","0.16","62900","63000","62300","10730362","672253190500","375499322395000","5969782550"
